course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/nghe-thuat-trang-diem-ca-nhan-dep-tu-nhien,Nghệ thuật trang điểm cá nhân đẹp tự nhiên,Tân Nguyễn,700.000,299.000,3876,3.7,6 phần,28 bài giảng,00 giờ 56 phút,Không còn bối rối mỗi khi ra đường nên chọn phong cách nào cho phù hợp.. Tự mình trang điểm cho mình nổi bật hơn trong 1 bữa tiệc hay sự kiện. Không phải vất vả ngồi hàng giờ để chờ chuyên gia trang điểm giúp bạn.. Thay đổi các phong cách phù hợp bằng bí quyết của chuyên gia. Bắt kịp xu hướng trang điểm giúp bạn thời trang hơn. Bạn sẽ thay đổi chính mình khi học được cách biến hóa bản thân đến hoàn hảo,Trang điểm
https://unica.vn/yoga-cho-than-khoe-tam-an,"Yoga cho Thân Khỏe, Tâm An ",Milena Nguyễn,700.000,299.000,137,4.7,7 phần,31 bài giảng,03 giờ 57 phút,Cảm nhận chuyển biến tích cực về thể chất lẫn tinh thần. Làm việc hiệu quả và tận hưởng cuộc sống. Năng lượng dồi dào trong cơ thể. Tỉnh táo tâm trí. Cảm xúc tích cực. Kết nối với tiếng nói nội tại,Yoga
https://unica.vn/yoga-tang-cuong-sinh-ly,36 Thế Yoga tăng cường sinh lý,Nguyễn Hiếu,700.000,299.000,321,4.9,7 phần,49 bài giảng,05 giờ 41 phút,Nắm được 36 thế Yoga giúp tăng cường sinh lý. Cải thiện hạnh phúc gia đình. Lấy lại cân bằng cho cuộc sống. Cải thiện sinh lý tự nhiên mà không cần thuốc. Đời sống hôn nhân trở nên viên mãn và thăng hoa hơn. Cơ thể được thanh lọc để trở nên linh loạt và quyến rũ hơn.,Yoga
https://unica.vn/yoga-co-ban-ngay-tai-nha,Tập Yoga cơ bản ngay tại nhà với Nguyễn Hiếu,Nguyễn Hiếu,700.000,299.000,7133,4.2,17 phần,32 bài giảng,07 giờ 23 phút,"Sở hữu dáng đẹp eo thon như mong muốn. Rèn luyện tâm trí, an nhiên trong cuộc sống. Giải độc cơ thể, giảm stress hiệu quả. Tăng cường sức khỏe, đẩy lùi bệnh tật. Học online không cần đến phòng tập",Yoga
https://unica.vn/massage-duong-sinh-dau-vai-gay, Massage dưỡng sinh Đầu - Vai - Gáy,Tina Đỗ,700.000,299.000,209,4.6,4 phần,24 bài giảng,01 giờ 13 phút,"Nắm rõ kiến thức chuyên môn của phương pháp massage dưỡng sinh đầu- vai- gáy. Hiểu được giá trị thiết thực của Massage đầu – vai – gáy đối với đời sống sức khỏe. Nhanh chóng giải tỏa những áp lực, stress của công việc và cuộc sống.. Chi tiết động tác ấn trên các điểm năng lượng, trên các vùng cơ đầu, cổ, vai, gáy. Hiểu được thông điệp yêu thương, chia sẻ, sự đồng cảm với người khác qua từng kỹ thuật. Nghệ thuật của thông điệp yêu thương với người thân và giữa con người với con người","Sức khoẻ, Massage - Trị liệu"
https://unica.vn/dep-tu-trong-ra-ngoai,Bí quyết trẻ đẹp từ trong ra ngoài,Vũ Ngọc Hoa,700.000,199.000,141,4.7,9 phần,30 bài giảng,03 giờ 31 phút,"Trở lên đẹp và vững chắc từ bên trong, biết cách đối mặt và vượt qua những thách thức trong cuộc sống.. Thấy rõ giá trị bản thân, biết yêu bản thân mình hơn, chăm sóc bản thân tốt hơn. Biết cách quản lí cảm xúc của mình để tránh lời nói và hành động gây hậu quả đáng tiếc. Biết cách lắng nghe và nói những lời nói phù hợp đi vào trái tim của người khác. Biết cách tự bảo vệ bản thân và tinh thần của mình, xây dựng sức mạnh của bản thân. Biết cách xây dựng mục tiêu cuộc đời và cách thức đạt được mục tiêu",Làm đẹp
https://unica.vn/25-cach-lam-dep-da-trang-sang-tri-mun,"25 Cách làm đẹp da, trắng sáng, trị mụn",Đỗ Minh Hà,600.000,299.000,1288,4.5,4 phần,32 bài giảng,03 giờ 05 phút,"Hiểu được tầm quan trọng của việc chăm sóc đúng quy trình với làn da của bạn. Biết cách tự làm đẹp tại nhà đơn giản hiệu quả, không tốn thời gian. Nắm được kiến thức về làm đẹp, chăm sóc da, thẩm mỹ. Không cân lo lắng về tác dụng phụ của các loại hóa chất mỹ phẩm. Biết cách làm đẹp da, trị mụn từ nguyên liệu thiên nhiên. Biết cách sử dụng cách nguyên liệu tự nhiên phù hợp với làn da mang lại hiểu quả tốt nhất. Lựa chọn sản phẩm chăm sóc da phù hợp với da mặt",Làm đẹp
https://unica.vn/yoga-bau-me-khoe-manh-con-an-nhien,"Yoga bầu - Mẹ khỏe mạnh, con an nhiên",Thu Mint,700.000,299.000,1399,4.6,5 phần,27 bài giảng,04 giờ 52 phút,"Phòng tránh các bệnh thường gặp ở bà bầu như chuột rút, đau lưng, đau cơ xương chậu.. Tăng cường sức khỏe sức đề kháng, làm mềm mại khớp háng, xương chậu giúp dễ sinh nở, tăng cường sức bền, sự dẻo dai.. Cách thả lỏng cơ thể để chuẩn bị tâm lý, giúp giảm đau và thoải mái hơn khi sinh nở.. Tránh phù nề, béo phì, tích tụ mỡ thừa trong quá trình mang thai, tăng cân quá nhiều trong quá trình mang thai.. Cách massage thư giãn cho bà bầu, giúp người chồng/người cha kết nối với người vợ/ người mẹ và con yêu sắp chào đời.. Điều chỉnh cảm xúc cho mẹ bầu giảm căng thẳng, hay tránh trầm cảm, lo âu , sợ hãi, và cô đơn.","Yoga, Yoga bầu"
https://unica.vn/bi-quyet-giup-nguoi-can-thi-2-4-do-cai-thien-thi-luc,Bí quyết giúp người cận thị 2 - 4 độ cải thiện thị lực,Nguyễn Thủy,1.000.000,299.000,336,4.9,16 phần,68 bài giảng,05 giờ 08 phút,"Nắm được thói quen sinh hoạt hàng ngày tốt cho mắt. Biết cách suy nghĩ và nói những điều tích cực cho đôi mắt. Biết nguyên nhân gây ra tật khúc xạ cho mắt và cách cải thiện. Biết cách làm cho đôi mặt linh hoạt và hết dại mắt. Sở hữu những cách đơn giản, đáng kinh ngạc để cải thiện thị lực. Lấy lại sự tự tin với đôi mắt khỏe đẹp một cách tự nhiên",Sức khoẻ
https://unica.vn/bi-mat-thien-ung-dung-thay-doi-cuoc-doi,Bí mật Thiền ứng dụng thay đổi cuộc đời,Nguyễn Hiếu,700.000,279.000,6511,4.4,9 phần,25 bài giảng,07 giờ 53 phút,"Giải tỏa căng thẳng, lo lắng, mang lại lợi ích tuyệt vời cho sức khỏe thể chất lẫn tinh thần. Giảm các cơn đau, đặc biệt tốt với những người bệnh huyết áp, tim mạch, nhiễm trùng. Xua tan những ý nghĩ tiêu cực, giữ tinh thần lạc quan, có cái nhìn tích cực về cuộc sống. Giữ trạng thái cân bằng trong cơ thể, giúp bạn làm chủ bản thân trong các tình huống. Giúp cải thiện giấc ngủ nhờ những bài học Thiền bổ ích","Yoga - Thiền, Giảm stress, Thiền"
