course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/ki-nang-soan-thao-van-ban-mos-word-2016,Kĩ năng soạn thảo văn bản MOS - Word 2016, Nguyễn Trần Thành ,600.000,299.000,70,5.0,5 phần,47 bài giảng,03 giờ 10 phút,Nắm được toàn bộ kiến thức về công cụ Microsoft Word 2016 một cách nhanh chóng đầy đủ nhất. Thành thạo nhuần nhuyễn các thao tác thực hiện sử dụng công cụ Word 2016 từ cơ bản nhất đến kỹ thuật nâng cao trong quá trình soạn thảo văn bản. Thực hành ôn luyện các kỹ năng sử dụng Word 2016 thông qua các bài tập thực hành và bài trắc nghiệm. Nắm được các chuẩn định dạng văn bản Việt Nam. Ứng dụng hiệu quả các kiến thức về Word 2016 vào công việc hiệu quả. Tự tin tham gia thi chứng chỉ tin học văn phòng MOS với kết quả cao nhất,Word
https://unica.vn/bi-quyet-ung-dung-tin-hoc-va-cac-thu-thuat-toi-uu-cong-viec-kinh-doanh-online,Bí quyết ứng dụng tin học và các thủ thuật tối ưu công việc kinh doanh online,Vũ Ngọc Quyền,800.000,129.000,1355,4.9,3 phần,47 bài giảng,06 giờ 25 phút,"Biết cách sử dụng tin học văn phòng (word, excel, powerpoint) vào công việc một cách hiệu. Ứng dụng google để tạo báo cáo, chia sẻ quyền giữa các phòng ban trong công ty. Biết cách tạo biểu đồ, các mẫu biểu báo cáo trực quan nhanh chóng. Thiết kế bộ slide chuyên dụng cho doanh nghiệp cho nhiều mảng khác nhau. Có được toàn bộ các công cụ miễn phí xây dựng hình ảnh, video thu hút khách hàng. Khám phá được các mẹo và thủ thuật áp dụng vào công việc kinh doanh online. Sáng tạo ý tưởng quảng cáo dựa trên các website công nghệ. Tiết kiệm thời gian và tăng năng suất làm việc lên gấp đôi","Excel, Kinh doanh Online, PowerPoint, Word"
https://unica.vn/bi-quyet-luyen-thi-mos-word-201-tren-900-diem,Bí quyết luyện thi Mos Word 2010 trên 900 điểm,Đặng Thanh Trúc,800.000,299.000,62,5.0,8 phần,34 bài giảng,04 giờ 41 phút,Nắm chắc toàn bộ kiến thức về công cụ Microsoft Word 2010 từ cơ bản đến nâng cao. Được bổ sung và trau dồi kiến thức về công cụ Word bị thiếu sót trong quá trình học tập và làm việc.. Được học và giải đề bằng ngôn ngữ tiếng Anh giúp học viên tăng vốn từ vựng một cách bất ngờ. Có tư duy sắp xếp các bước để giải đề MOS Word 2010. Có khả năng tự luyện và giải đề các phiên bản Word cao hơn. Tự tin thi MOS Word 2010 với số điểm trên 900+,Word
https://unica.vn/thanh-thao-excel-2013-tu-tin-thi-do-chung-chi-mos,"Thành thạo Excel 2013 từ A tới Z, tự tin thi đỗ chứng chỉ MOS",Nguyễn Ngọc Chiến,800.000,299.000,303,4.6,12 phần,71 bài giảng,09 giờ 00 phút,"Được trang bị đầy đủ kiến thức và kỹ năng để đi thi đỗ chứng chỉ MOS Excel 2013 với điểm số cao nhất. Trở thành chuyên gia tin học văn phòng được Microsoft công nhận toàn cầu với thời gian trọn đời. Học viên đạt chứng chỉ MOS chứng tỏ được năng lực của bản thân được đào tạo chuyên nghiệp hơn, sẽ có ưu thế và nổi bật hơn trong mắt các nhà tuyển dụng.. Học viên có thể sử dụng chứng chỉ bản mềm MOS 2013 để nộp đơn xin việc ngay sau khi thi đỗ. Bản cứng sẽ được chuyển về Việt Nam sau 6 -8 tuần. Tự tin làm chủ phần mềm Excel 2013, góp phần nâng cao hiệu suất và hiệu quả công việc. Khẳng định vị thế tiên phong trong doanh nghiệp như một chuyên gia tin học văn phòng thực thụ. Tăng cao thu nhập cá nhân và cơ hội thăng tiến trong sự nghiệp",Excel
https://unica.vn/lam-chu-word-2016-tu-co-ban-den-nang-cao,Làm chủ Word 2016 từ cơ bản đến nâng cao,Đỗ Trung Thành,800.000,299.000,8146,4.6,4 phần,43 bài giảng,04 giờ 42 phút,"Làm chủ phần mềm Word 2016 nhanh chóng và chi tiết nhất. Có thể áp dụng ngay vào công việc và học tập thi cử. Nắm được các bước xây dựng, soạn thảo văn bản và chỉnh sửa hợp lý và nhanh chóng, đúng quy trình.. Biết cách thiết kế, thiết lập văn bản, chỉnh sửa, bảo mật văn bản word dể ứng dụng vào hợp đồng, báo cáo, các tài liệu văn phòng, chứng từ cụ thể,.... Được trau dồi kiến thức nâng cao ứng dụng vào công việc thêm tối ưu và hiệu quả. Tự tin nâng cao trình độ để thi chứng chỉ tin học văn phòng",Word
https://unica.vn/thiet-ke-trinh-chieu-powerpoint-2016-tu-a-z,Thiết kế trình chiếu PowerPoint 2016 từ A-Z,Đỗ Trung Thành,500.000,299.000,4339,4.7,5 phần,43 bài giảng,05 giờ 30 phút,"Nhanh chóng làm chủ phần mềm PowerPoint 2016. Nắm được các bước cụ thể về quá trình tạo ra bài thuyết trình, bài giảng điện tử,…. Được thực hành chi tiết từng nội dung, thành phần và đối tượng cụ thể. Có đủ kỹ năng về thiết kế, trình chiếu thông qua các bài thực hành. Thực hành trực tiếp từng sản phẩm theo các video bài học. Tự tin thuyết trình với side chuyên nghiệp. Tự tin Thiết kế CV, inforgraphic, video marketing... và còn nhiểu hơn thế!",PowerPoint
https://unica.vn/thanh-thao-excel-qua-giai-de-thi,Thành Thạo Excel Qua Giải Đề Thi,Trần Duy Thanh,700.000,599.000,858,4.2,8 phần,58 bài giảng,07 giờ 47 phút,"Nắm được toàn bộ kiến thức Excel xuất hiện nhiều trong thi cử và trong công việc văn phòng. Biết cách sắp xếp, lọc dữ liệu và trình diễn dữ liệu khoa học, hiệu quả. Nắm chắc và biết cách ứng dụng thành thạo các bộ hàm Excel lớn từ cơ bản - nâng cao. Ứng dụng hiệu quả những kiến thức đã học - thực hành vào công việc tối ưu nhất. Có thể thực hiện thống kê và lên kế hoạch bằng Excel dễ dàng và nhanh chóng hơn. Làm chủ Excel thần tốc với 10+ bài giảng là các đề thi yêu cầu phải thực hành giải đề. Trở thành cao thủ Excel ngay trong doanh nghiệp và trường lớp",Excel
https://unica.vn/powerpoint-nhung-dieu-ban-chua-biet,Powerpoint - Những điều bạn chưa biết,Nguyễn Thành Trung,700.000,299.000,150,4.8,6 phần,21 bài giảng,02 giờ 58 phút,"Nắm được những lý thuyết và thao thác thực hiện các tính năng có trong Powepoint một cách tốt nhất. Ứng dụng sâu các tính năng có trong Powerpoint như làm hiệu ứng 2D - 3D ảnh, video, animation.... Nhanh chóng tối ưu công việc, rút ngắn được thời gian thực hiện một bản trình chiếu chuyên nghiệp, hiệu quả. Nắm được những kỹ năng thiết kế slide trong Powerpoint khoa học, ấn tượng, hiệu ứng tốt đối với người theo dõi.. Khóa học phân thành từng học phần nhỏ hoàn toàn có thể vừa học vừa thực hành để ứng dụng ngay vào công việc của mình. Tự tin thể hiện cá tính, dấu ấn cá nhân trong bản trình chiếu độc đáo hơn.",PowerPoint
course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/ki-nang-soan-thao-van-ban-mos-word-2016,Kĩ năng soạn thảo văn bản MOS - Word 2016, Nguyễn Trần Thành ,600.000,299.000,70,5.0,5 phần,47 bài giảng,03 giờ 10 phút,Nắm được toàn bộ kiến thức về công cụ Microsoft Word 2016 một cách nhanh chóng đầy đủ nhất. Thành thạo nhuần nhuyễn các thao tác thực hiện sử dụng công cụ Word 2016 từ cơ bản nhất đến kỹ thuật nâng cao trong quá trình soạn thảo văn bản. Thực hành ôn luyện các kỹ năng sử dụng Word 2016 thông qua các bài tập thực hành và bài trắc nghiệm. Nắm được các chuẩn định dạng văn bản Việt Nam. Ứng dụng hiệu quả các kiến thức về Word 2016 vào công việc hiệu quả. Tự tin tham gia thi chứng chỉ tin học văn phòng MOS với kết quả cao nhất,Word
