course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/tu-hoc-photoshop-trong-7-ngay,Tự học Photoshop trong 7 ngày,Trịnh Tấn Tiến ,800.000,299.000,82,4.8,5 phần,30 bài giảng,04 giờ 22 phút,"Giáo trình photoshop bài bản ngay từ đầu. Thiết kế được những banner, poster cho web hoặc các sự kiện. Làm cho bức ảnh của bạn trông sống động, sắc nét và có chiều sâu. Với kiến thức cơ bản tạo ra nhiều sản phẩm Photoshop nâng cao và sáng tạo hơn. Nâng kỹ năng sáng tạo của bạn lên một cấp độ mới. Thực hành các bài tập cần thiết để trở thành nhà thiết kế chuyên nghiệp","Photoshop, Chỉnh sửa ảnh"
https://unica.vn/thanh-thao-3ds-max-va-vray-2017,Làm Chủ Thiết Kế Với 3DS MAX và Vray,Trịnh Duy Đông,900.000,299.000,2382,4.4,12 phần,62 bài giảng,08 giờ 44 phút,"Kinh nghiệm để tránh những lỗi, những sai sót khi thiết kế.. Bài tập xuyên suốt sau mỗi bài học quá trình học. Hướng dẫn sử dụng vật liệu có sẵn và thư viện trong 3DS MAX. Cung cấp các Plugin hỗ trợ khóa học. Đủ kiến thức nghiên cứu phần mềm, nâng cao chuyên ngành","3DSMax, Vray, Kiến Trúc, Nội Thất"
https://unica.vn/lam-chu-photoshop-trong-7-ngay,Làm chủ photoshop trong 7 ngày,Vũ Ngọc Đăng,800.000,299.000,183,3.9,9 phần,49 bài giảng,06 giờ 38 phút,"Nhanh chóng thành thạo các công cụ trong Photoshop chỉ với 7 ngày học và thực hành. Tạo ra được poster siêu ""ngầu"" và ""độc"", thể hiện phong cách riêng của bản thân.. Biết cách blend màu để giúp bức ảnh trở nên kì thú.. Biết cách tạo các hiệu ứng chữ độc đáo và hấp dẫn cho sản phẩm photoshop của bạn. Chỉnh sửa những bức ảnh chân dung hay phong cảnh theo cách ấn tượng.. Nắm được bí quyết làm việc Siêu tốc và Hiệu quả trong Photoshop thông qua việc sử dụng Plugin.","Photoshop, Thiết kế đồ họa, Chỉnh sửa ảnh, Thiết kế sản phẩm"
https://unica.vn/hoc-illustrator-tu-can-ban-den-nang-cao,Học Illustrator từ căn bản đến nâng cao,Vũ Ngọc Đăng,900.000,299.000,529,4.7,10 phần,48 bài giảng,04 giờ 11 phút,"Trở nên sáng tạo hơn cùng với Adobe Illustrator. Biết cách áp dụng Illustrator cho những dự án đồ họa vector riêng của chính bạn. Minh họa & Biên tập được các ấn phẩm sách báo. Sáng tạo Logo & Bộ nhận dạng Thương hiệu. Tạo được các sản phẩm: tờ rơi, Card Visit, Broucher, Profile.... Thiết kế Banner website nhanh chóng",Illustrator
https://unica.vn/thiet-ke-concept-nhan-vat-tren-photoshop,Thiết kế Concept nhân vật trên Photoshop,Phạm Đức Duy,900.000,299.000,489,4.0,5 phần,41 bài giảng,05 giờ 09 phút,"Nắm vững được công cụ thiết kế nâng cao của phần mềm Photoshop. Được cung cấp tư duy sáng tạo với nghề concept art. Kinh nghiệm thực tế và các lỗi thường gặp. Biết cách lên concept ý tưởng các vật thể đơn giản đến phức tạp.. Tự tay thực hành vẽ minh họa các bài tập trong khóa học một cách hoàn thiện đúng quy trình nhất từ A - Z. Là nền tảng kiến thức cơ bản để tạo ra các sản phẩm nâng cao và chủ động trong thiết kế.. Tự tin ứng tuyển vào các vị trí diễn họa, concept art cho các công ty, doanh nghiệp","Photoshop, Thiết kế đồ họa"
https://unica.vn/ky-nang-photoshop-cho-hoa-sy-concept-art,Kỹ năng photoshop cho họa sỹ Concept Art,Phạm Đức Duy,900.000,299.000,527,4.0,3 phần,22 bài giảng,03 giờ 07 phút,"Học với phương pháp “ Draw or Die” tiên tiến nhất được áp dụng ở các nước phát triển. Sở hữu khả năng tư duy sáng tạo nhân vật và kỹ năng vẽ hoàn thiện. Làm chủ công cụ và thể hiện được ý tưởng của mình trên Photoshop như những họa sỹ concept chuyên nghiệp. Sử dụng được kiến thức từ khóa học cho công việc thực tế và làm nền tảng để các bạn học nâng cao hơn. Trở thành những Concept artist chuyên nghiệp thậm chí là Art Leader ở các Studio lớn trong tương lai. Tự tin ứng tuyển vào các vị trí concept art tại các công ty, doanh nghiệp với mức thu nhập cao","Photoshop, Thiết kế đồ họa"
https://unica.vn/cam-nang-dung-hinh-3d-voi-autodesk-maya,Cẩm nang dựng hình 3D với Autodesk Maya,Phạm Đức Duy,900.000,299.000,133,4.5,5 phần,31 bài giảng,03 giờ 42 phút,Nắm vững được công cụ dựng hình của phần mềm Maya. Biết cách dựng hình 3d các vật thể đơn giản đến phức tạp theo thiết kế 2D. Tự tin để ứng tuyển vào các công ty thiết kế 3D khi có nền tảng kiến thức cơ bản. Hoàn toàn có thể tạo ra các sản phẩm nâng cao và chủ động trong thiết kế,Dựng hình 3D
https://unica.vn/tuyet-chieu-luyen-revit-arch,Tuyệt chiêu luyện REVIT ARCH ,Phạm Văn Lương,1.000.000,299.000,1446,4.0,4 phần,55 bài giảng,19 giờ 03 phút,"Kiến thức từ cơ bản đến chuyên sâu về phần mềm Revit Arch phiên bản 2015. Quy trình các bước dựng hình một công trình kiến trúc thực tế bằng Revit Arch. Hiểu được quy trình các bước triển khai các bản vẽ kiến trúc 2D để tạo ra một bộ hồ sơ kiến trúc Full.. Được thực hành và nhanh chóng thành thạo các công cụ của Revit Arch để triển khai xây dựng và hoàn thiện một bản vẽ. Triển khai chi tiết các bản vẽ công trình kiến truc nhanh chóng. Học cách quản lý dự án cho công trình một cách chi tiết, bàn bản và đầy đủ.","Revit, Kiến trúc"
https://unica.vn/cam-nang-a-z-illustrator-cho-designer,Cẩm nang A-Z Illustrator cho Designer,Phạm Đức Duy,900.000,299.000,84,4.3,4 phần,41 bài giảng,05 giờ 30 phút,"Nắm vững được công cụ thiết kế của phần mềm Adobe Illustrator.. Biết cách dựng hình 2D các vật thể đơn giản đến phức tạp theo thiết kế.. Thực hành theo các dự án thực tế để nhanh chóng áp dụng vào công việc. Nền tảng kiến thức cơ bản để tạo ra các sản phẩm nâng cao bằng công cụ Aode Illustrator. Tự tin và chủ động trong thiết kế để nâng cao tay nghề cũng như tiếp xúc làm việc nhiều hơn với công việc thiết kế của bạn. Học mọi lúc mọi nơi, hỗ trợ trực tuyến 24/7 cho học viên","Illustrator, Thiết kế đồ họa"
https://unica.vn/tao-hinh-thiet-ke-chuyen-nghiep-voi-3dsmax,Tạo hình thiết kế chuyên nghiệp với 3DSMAX	,Lê Anh Tuấn,900.000,299.000,150,4.8,2 phần,52 bài giảng,08 giờ 29 phút,"Có kiến thức cơ bản và sử dụng thành thạo các nhóm lệnh và các công cụ của 3DSMAX. Biết cách tạo hình sản phẩm trong thực tế như hình hộp lập phương, bàn ghế sofa, căn nhà hoàn thiện,..... Sử dụng thành thạo 3DSMAX và tạo ra các sản phẩm phục vụ tốt công việc liên quan đến xây dựng, tạo hình 3D. Nắm được kiến thức cơ bản, từ đó có thể tự nghiên cứu phần mềm, tự thực hành các dự án riêng, chuẩn bị cho các bước học nâng cao tiếp theo. Đủ khả năng hoàn thiện đồ án chuyên ngành với kết quả cao. Tự tin ứng tuyển tại các công ty truyền thông, quảng cáo có các vị trí thiết kế đồ họa 3D","3DSMax, Thiết kế nội thất, Kiến Trúc, Nội Thất"
