course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/lap-trinh-linq-toan-tap,Lập trình LinQ toàn tập,Trần Duy Thanh,700.000,399.000,807,4.7,9 phần,71 bài giảng,18 giờ 45 phút,"Có được kiến thức toàn diện nhất, bài bản nhất về ngôn ngữ lập trình C#. Nhanh chóng thành thạo các kiến thức và kỹ thuật xử lý vấn đề trong quá trình lập trình C#, fix lỗi, xử lý và kiểm soát biệt lệ, triển khai mô hình đa tầng phức tạp trong C#. Có khả năng phát triển phần mềm tương tác cơ sở dữ liệu bằng C#. Thành thạo LinQ: LinQ to Object, LinQ to SQL. Xây dựng được kiến trúc đa tầng trong C#. Là cơ sở để lập trình di động đa nền tảng với Xamarin","Ngôn ngữ lập trình, Công nghệ thông tin"
https://unica.vn/asp-net-va-xay-dung-hoan-chinh-ung-dung-website-dong,ASP.NET và Xây dựng hoàn chỉnh ứng dụng website động,TRƯƠNG MINH TUẤN,800.000,299.000,201,4.5,11 phần,60 bài giảng,10 giờ 22 phút,"Cung cấp cho bạn kiến thức nền tảng về ASP.NET WebForm.. Làm tiền đề cho bạn nếu muốn lập nghiệp và phát triển cơ hội bằng nền tảng .NET.. Tự tin xây dựng các ứng dụng website vừa, nhỏ và hệ thống ứng dụng WebPortal trong tương lai.. Tự tin ứng tuyển vào các Công ty đang làm về ASP.NET.. Có thêm các kiến thức về lập trình chuyên nghiệp.. Phát triển toàn diện sự nghiệp của các bạn muốn theo đuổi .NET.","Ngôn ngữ lập trình, Lập Trình Web"
https://unica.vn/che-tao-canh-tay-robot-dieu-khien-bang-may-tinh,Chế tạo cánh tay robot điều khiển bằng máy tính,Phan Hoàng Anh,900.000,299.000,155,5.0,9 phần,61 bài giảng,04 giờ 13 phút,"Kiến thức cơ bản về Robotics, đặc biệt là cánh tay robot. Khả năng tự học, tự tìm hiểu khi muốn mở rộng với các thiết bị khác.. Áp dụng các kiến thức được học vào các mẫu cánh tay robot khác. Ứng dụng điều khiển các cánh tay robot trong thực tế cũng như trong công nghiệp. Kiến thức nền tảng trong truyền dẫn tín hiệu có dây và không dây từ máy tính. Biết cách xây dựng một phần mềm máy tính hoàn chỉnh để ứng dụng trong điều khiển robot. Có khả năng tìm hiểu về Robotics và các thuật toán Robot tự động, bán tự động và điều khiển. Chế tạo sản phẩm, tham gia các cuộc thi khoa học công nghệ trong nước và quốc tế","Chế tạo robot, Công nghệ thông tin"
https://unica.vn/tu-che-tao-may-bay-dieu-khien-tu-xa-rc,Tự chế tạo máy bay điều khiển từ xa RC,Nguyễn Thế Phương,800.000,299.000,167,4.9,7 phần,38 bài giảng,02 giờ 20 phút,"Khơi gợi niềm đam mê óc sáng tạo, đánh thức khả năng tiềm ẩn. Có kiến thức nền tảng cơ bản đế chi tiết về máy bay mô hình điều khiển từ xa.. Kiến thức cơ bản về vật thể bay khác để thiết kế robot, tên lửa, tàu không gian,.... Tạo thú vui giải trí lành mạnh và niềm yêu thích học tập chế tạo cho mọi lứa tuổi. Phục vụ nghiên cứu và phát triển làm đồ án tốt nghiệp đi thi các môn công nghệ. Được đội ngũ tư vấn và giảng viên hỗ trợ 24/7, mọi lúc mọi nơi","Chế tạo robot, Công nghệ thông tin"
https://unica.vn/lam-5-du-an-website-de-tro-thanh-lap-trinh-vien-chuyen-nghiep,Làm 5 dự án website để trở thành lập trình viên chuyên nghiệp,Võ Đức Thiện,1.499.000,899.000,100,4.5,5 phần,65 bài giảng,26 giờ 57 phút,"Hiểu rõ về cách lập trình frontend, ứng dụng HTML5/CSS3/JQUERY xây dựng các ứng dụng web có UI/UX cao. Biết cách xây dựng và thiết kế cơ sở dữ liệu để lưu trữ hệ thống thông tin cho 1 ứng dụng web.. Xây dựng 1 backend để quản lý dữ liệu web theo mô hình MVC của các framework nổi tiếng bằng ngôn ngữ lập trình PHP. Hiểu quy trình thiết kế và xây dựng 1 dự án startup bằng website, khả năng tự lên ý tưởng, thiết kế, lập trình và triển khai dự án startup đó","Thiết kế Web, Công nghệ thông tin"
https://unica.vn/hoc-cat-web-tu-file-thiet-ke,"Học HTML5/CSS3, BOOTSTRAP 4 và học cắt Web từ file thiết kế",Nguyễn Đức Việt,700.000,599.000,1288,4.5,12 phần,159 bài giảng,25 giờ 06 phút,"Nắm chắc kiến thức cơ bản về và 2 phần mềm cần thiết cho cắt web là CSS và HTML. Hiểu rõ về Bootstrap 4, các thành phần của Bootstrap, cài đặt cũng như thực hành cắt web với Bootstrap.. Học cắt web từ file thiết kế Photoshop với các giao diện ILLUSTRATE, pix. Kỹ năng cắt web với sản phẩm bán chạy trên Themeforest : Thefox. Thực hành cắt web với 2 phần mềm chuyên dụng CSS và HTML trên các địa chỉ website lớn như: Kenh14.vn, Vietnamnet.vn, Docbao.vn, Marry.vn, Giadinh.net,.... Hiểu rõ về các thuộc tính trong CSS: thuộc tính Absolute và Relative, thuộc tính Fle,..  và thực hành trên các web cụ thể, để thành thục công cụ.","Thiết kế Web, Lập Trình Web, Công nghệ thông tin, CSS"
https://unica.vn/che-tao-robot-do-duong,Chế tạo Robot dò đường,Phan Hoàng Anh,800.000,299.000,314,4.6,11 phần,66 bài giảng,04 giờ 03 phút,"Có kiến thức cơ bản về Robotics. Chế tạo Robot dò đường thông minh. Đánh thức nhà khoa học bên trong bạn. Tìm hiểu thêm về Robotics, các thuật toán Robot tự động. Kiến thức nền tảng để chế tạo các máy móc tự động phục vụ đời sống sinh hoạt, lao động sản xuất. Kiến thức để chế tạo sản phẩm, tham gia các cuộc thi khoa học công nghệ trong nước và quốc tế","Chế tạo robot, Công nghệ thông tin"
https://unica.vn/lap-trinh-winform-voi-c-10-ung-dung, Lập trình WinForm với C#: 10 ứng dụng,Trần Duy Thanh,800.000,599.000,1292,4.9,8 phần,43 bài giảng,20 giờ 28 phút,"Có được kiến thức toàn diện bài bản nhất về ngôn ngữ lập trình C#. Sau khi kết thúc khoá học lập trình winform với c# bạn sẽ có thể phát triển phần mềm tương tác cơ sở dữ liệu bằng C#. Biết cách lập trình cơ sở dữ liệu trong C#. Xây dựng được kiến trúc đa tầng trong C#. BIết cách đóng gói ứng dụng C#. Là cơ sở để lập trình di động đa nền tảng với Xamarin. Được thực hành một cách chi tiết có lời giải tổng hợp toàn bộ kiến thức C# trong khóa học vói những bài tập sát thực tế nhất, tính ứng dụng cao nhất","Ngôn ngữ lập trình, Công nghệ thông tin"
https://unica.vn/toan-tap-ngon-ngu-lap-trinh-c,Toàn tập ngôn ngữ lập trình C#,Trần Duy Thanh,600.000,479.000,2709,4.6,8 phần,44 bài giảng,19 giờ 46 phút,"Có được toàn bộ kiến thức về ngôn ngữ lập trình C# từ cơ bản đến chuyên sâu nhất để có thể tự tạo ra được một ứng dụng hoàn chỉnh từ C#. Nắm được những nội dung chính trong ngôn ngữ C#: kiến thức về hàm, cấu trúc trong C#, debug, xử lý chuỗi và mảng, xây dựng một project thực tế.... Có được kiến thức toàn diện đầy đủ về ngôn ngữ lập trình C#. Có khả năng phát triển phần mềm tương tác cơ sở dữ liệu bằng C#. Xây dựng được kiến trúc đa tầng trong C#, lập trình win form cơ bản trong C#. Là cơ sở để lập trình di động đa nền tảng với Xamarin...","Ngôn ngữ lập trình, Công nghệ thông tin, Lập trình C"
course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/lap-trinh-linq-toan-tap,Lập trình LinQ toàn tập,Trần Duy Thanh,700.000,399.000,807,4.7,9 phần,71 bài giảng,18 giờ 45 phút,"Có được kiến thức toàn diện nhất, bài bản nhất về ngôn ngữ lập trình C#. Nhanh chóng thành thạo các kiến thức và kỹ thuật xử lý vấn đề trong quá trình lập trình C#, fix lỗi, xử lý và kiểm soát biệt lệ, triển khai mô hình đa tầng phức tạp trong C#. Có khả năng phát triển phần mềm tương tác cơ sở dữ liệu bằng C#. Thành thạo LinQ: LinQ to Object, LinQ to SQL. Xây dựng được kiến trúc đa tầng trong C#. Là cơ sở để lập trình di động đa nền tảng với Xamarin","Ngôn ngữ lập trình, Công nghệ thông tin"
https://unica.vn/asp-net-va-xay-dung-hoan-chinh-ung-dung-website-dong,ASP.NET và Xây dựng hoàn chỉnh ứng dụng website động,TRƯƠNG MINH TUẤN,800.000,299.000,201,4.5,11 phần,60 bài giảng,10 giờ 22 phút,"Cung cấp cho bạn kiến thức nền tảng về ASP.NET WebForm.. Làm tiền đề cho bạn nếu muốn lập nghiệp và phát triển cơ hội bằng nền tảng .NET.. Tự tin xây dựng các ứng dụng website vừa, nhỏ và hệ thống ứng dụng WebPortal trong tương lai.. Tự tin ứng tuyển vào các Công ty đang làm về ASP.NET.. Có thêm các kiến thức về lập trình chuyên nghiệp.. Phát triển toàn diện sự nghiệp của các bạn muốn theo đuổi .NET.","Ngôn ngữ lập trình, Lập Trình Web"
https://unica.vn/che-tao-canh-tay-robot-dieu-khien-bang-may-tinh,Chế tạo cánh tay robot điều khiển bằng máy tính,Phan Hoàng Anh,900.000,299.000,155,5.0,9 phần,61 bài giảng,04 giờ 13 phút,"Kiến thức cơ bản về Robotics, đặc biệt là cánh tay robot. Khả năng tự học, tự tìm hiểu khi muốn mở rộng với các thiết bị khác.. Áp dụng các kiến thức được học vào các mẫu cánh tay robot khác. Ứng dụng điều khiển các cánh tay robot trong thực tế cũng như trong công nghiệp. Kiến thức nền tảng trong truyền dẫn tín hiệu có dây và không dây từ máy tính. Biết cách xây dựng một phần mềm máy tính hoàn chỉnh để ứng dụng trong điều khiển robot. Có khả năng tìm hiểu về Robotics và các thuật toán Robot tự động, bán tự động và điều khiển. Chế tạo sản phẩm, tham gia các cuộc thi khoa học công nghệ trong nước và quốc tế","Chế tạo robot, Công nghệ thông tin"
https://unica.vn/tu-che-tao-may-bay-dieu-khien-tu-xa-rc,Tự chế tạo máy bay điều khiển từ xa RC,Nguyễn Thế Phương,800.000,299.000,167,4.9,7 phần,38 bài giảng,02 giờ 20 phút,"Khơi gợi niềm đam mê óc sáng tạo, đánh thức khả năng tiềm ẩn. Có kiến thức nền tảng cơ bản đế chi tiết về máy bay mô hình điều khiển từ xa.. Kiến thức cơ bản về vật thể bay khác để thiết kế robot, tên lửa, tàu không gian,.... Tạo thú vui giải trí lành mạnh và niềm yêu thích học tập chế tạo cho mọi lứa tuổi. Phục vụ nghiên cứu và phát triển làm đồ án tốt nghiệp đi thi các môn công nghệ. Được đội ngũ tư vấn và giảng viên hỗ trợ 24/7, mọi lúc mọi nơi","Chế tạo robot, Công nghệ thông tin"
https://unica.vn/lam-5-du-an-website-de-tro-thanh-lap-trinh-vien-chuyen-nghiep,Làm 5 dự án website để trở thành lập trình viên chuyên nghiệp,Võ Đức Thiện,1.499.000,899.000,100,4.5,5 phần,65 bài giảng,26 giờ 57 phút,"Hiểu rõ về cách lập trình frontend, ứng dụng HTML5/CSS3/JQUERY xây dựng các ứng dụng web có UI/UX cao. Biết cách xây dựng và thiết kế cơ sở dữ liệu để lưu trữ hệ thống thông tin cho 1 ứng dụng web.. Xây dựng 1 backend để quản lý dữ liệu web theo mô hình MVC của các framework nổi tiếng bằng ngôn ngữ lập trình PHP. Hiểu quy trình thiết kế và xây dựng 1 dự án startup bằng website, khả năng tự lên ý tưởng, thiết kế, lập trình và triển khai dự án startup đó","Thiết kế Web, Công nghệ thông tin"
https://unica.vn/hoc-cat-web-tu-file-thiet-ke,"Học HTML5/CSS3, BOOTSTRAP 4 và học cắt Web từ file thiết kế",Nguyễn Đức Việt,700.000,599.000,1288,4.5,12 phần,159 bài giảng,25 giờ 06 phút,"Nắm chắc kiến thức cơ bản về và 2 phần mềm cần thiết cho cắt web là CSS và HTML. Hiểu rõ về Bootstrap 4, các thành phần của Bootstrap, cài đặt cũng như thực hành cắt web với Bootstrap.. Học cắt web từ file thiết kế Photoshop với các giao diện ILLUSTRATE, pix. Kỹ năng cắt web với sản phẩm bán chạy trên Themeforest : Thefox. Thực hành cắt web với 2 phần mềm chuyên dụng CSS và HTML trên các địa chỉ website lớn như: Kenh14.vn, Vietnamnet.vn, Docbao.vn, Marry.vn, Giadinh.net,.... Hiểu rõ về các thuộc tính trong CSS: thuộc tính Absolute và Relative, thuộc tính Fle,..  và thực hành trên các web cụ thể, để thành thục công cụ.","Thiết kế Web, Lập Trình Web, Công nghệ thông tin, CSS"
https://unica.vn/che-tao-robot-do-duong,Chế tạo Robot dò đường,Phan Hoàng Anh,800.000,299.000,314,4.6,11 phần,66 bài giảng,04 giờ 03 phút,"Có kiến thức cơ bản về Robotics. Chế tạo Robot dò đường thông minh. Đánh thức nhà khoa học bên trong bạn. Tìm hiểu thêm về Robotics, các thuật toán Robot tự động. Kiến thức nền tảng để chế tạo các máy móc tự động phục vụ đời sống sinh hoạt, lao động sản xuất. Kiến thức để chế tạo sản phẩm, tham gia các cuộc thi khoa học công nghệ trong nước và quốc tế","Chế tạo robot, Công nghệ thông tin"
https://unica.vn/lap-trinh-winform-voi-c-10-ung-dung, Lập trình WinForm với C#: 10 ứng dụng,Trần Duy Thanh,800.000,599.000,1292,4.9,8 phần,43 bài giảng,20 giờ 28 phút,"Có được kiến thức toàn diện bài bản nhất về ngôn ngữ lập trình C#. Sau khi kết thúc khoá học lập trình winform với c# bạn sẽ có thể phát triển phần mềm tương tác cơ sở dữ liệu bằng C#. Biết cách lập trình cơ sở dữ liệu trong C#. Xây dựng được kiến trúc đa tầng trong C#. BIết cách đóng gói ứng dụng C#. Là cơ sở để lập trình di động đa nền tảng với Xamarin. Được thực hành một cách chi tiết có lời giải tổng hợp toàn bộ kiến thức C# trong khóa học vói những bài tập sát thực tế nhất, tính ứng dụng cao nhất","Ngôn ngữ lập trình, Công nghệ thông tin"
https://unica.vn/toan-tap-ngon-ngu-lap-trinh-c,Toàn tập ngôn ngữ lập trình C#,Trần Duy Thanh,600.000,479.000,2709,4.6,8 phần,44 bài giảng,19 giờ 46 phút,"Có được toàn bộ kiến thức về ngôn ngữ lập trình C# từ cơ bản đến chuyên sâu nhất để có thể tự tạo ra được một ứng dụng hoàn chỉnh từ C#. Nắm được những nội dung chính trong ngôn ngữ C#: kiến thức về hàm, cấu trúc trong C#, debug, xử lý chuỗi và mảng, xây dựng một project thực tế.... Có được kiến thức toàn diện đầy đủ về ngôn ngữ lập trình C#. Có khả năng phát triển phần mềm tương tác cơ sở dữ liệu bằng C#. Xây dựng được kiến trúc đa tầng trong C#, lập trình win form cơ bản trong C#. Là cơ sở để lập trình di động đa nền tảng với Xamarin...","Ngôn ngữ lập trình, Công nghệ thông tin, Lập trình C"
https://unica.vn/hoc-jquery-tu-co-ban-den-nang-cao,Học jQuery từ cơ bản đến nâng cao,Nguyễn Đức Việt,850.000,699.000,176,4.8,17 phần,107 bài giảng,17 giờ 02 phút,"Sử dụng công cụ Chrome Developer Tool trong thiết kế web hiện đại. Thao tác với thư viện jQuery, juQuery ui, Tweenmax. Tự xây dựng các plugin mới bằng jQuery. Nâng cao khả năng tự đọc hiểu các tài liệu tự lập trình jQuery. Tăng khả năng tương tác với người dùng. Tạo hiệu ứng động cho những thay đổi của nội dung, tài liệu. Lấy thông tin từ server mà không cần tải lại trang web. Có khả năng chỉnh sửa giao diện của một Webside bất kì","Ngôn ngữ lập trình, Công nghệ thông tin"
https://unica.vn/lap-trinh-web-voi-nodejs,"Lập trình Web tốc độ cao, thời gian thực với NodeJS 	",Bá Ngọc Cương,1.000.000,299.000,458,4.3,9 phần,52 bài giảng,06 giờ 10 phút,"Kết thúc khóa học lập trình Nodejs bạn sẽ nắm được cách cài đặt NodeJS trên mọi môi trường. Biết cách sử dụng NPM để quản lý thư viện cho ứng dụng NodeJS. Biết cách làm việc với NodeJS và logic phía Server. Viết được Web Server và ứng dụng Web cơ bản với NodeJS. Xây dựng BLOG cá nhân, tạo được ứng dụng CHAT web. Biết cách triển khai ứng dụng NODEJS trên Internet","Lập Trình Web, Công nghệ thông tin, Nodejs"
https://unica.vn/docker-co-ban,Docker cơ bản,Trần Anh Đức,350.000,229.000,187,3.9,6 phần,33 bài giảng,02 giờ 22 phút,Hiểu được các thành phần cấu thành nền tảng Docker. Hiểu được các khái niệm cốt lõi: container và image. Chạy và quản lý Docker container sử dụng image có sẵn. Thiết lập cấu hình mạng và chạy các container cùng mạng. Upload và download image từ DockerHub. Tự tạo image từ container và Dockerfile. Cấu hình và mount volume trên các container. Tăng hiệu suất phát triển phần mềm và giảm thiểu thời gian cấu hình,"Ngôn ngữ lập trình, Công nghệ thông tin"
https://unica.vn/xay-dung-website-responsive-voi-html5-css3,"Xây dựng Website Responsive với HTML5, CSS3",Bùi Quang Trung,800.000,299.000,235,4.2,14 phần,76 bài giảng,09 giờ 18 phút,"Kiến thức từ cơ bản đến nâng cao về xây dựng website responsive sử dung HTML5 và CSS3. Tự xây dựng website responsive tương tác nhiều thiết bị khác nhau. Nâng cao tay nghề, kiếm được công việc mới với mức hậu đãi tốt hơn. Làm chủ công nghệ xây dựng website, làm nền tảng để học những ngôn ngữ lập trình khác","Thiết kế Web, Lập Trình Web, Công nghệ thông tin, CSS"
https://unica.vn/lap-trinh-restful-webservice-trong-6-tuan,Lập trình Restful Webservice trong 6 tuần,Trần Duy Thanh,800.000,399.000,994,4.7,8 phần,53 bài giảng,16 giờ 48 phút,"Có được kiến thức toàn diện về lập trình RESTful .net Webservice. Có kiến thức sử dụng Microsoft SQL Server. Nắm rõ kỹ thuật tương tác dữ liệu giữa Di động Android với Webservice. Kỹ thuật tương tác dữ liệu giữa Desktop application, javaScript, AngularJS với Webservice","Ngôn ngữ lập trình, Công nghệ thông tin"
https://unica.vn/quan-tri-mang-cisco-ccna,Quản trị mạng Cisco CCNA , Nguyễn Trần Thành ,500.000,299.000,518,4.4,4 phần,23 bài giảng,05 giờ 48 phút,"Hiểu biết về nguyên lý hoạt động của hệ thống mạng. Kiến thức về mạng và mô hình mạng OSI-TCP/IP cơ bản. Quá trình định tuyến chuyển mạch và khắc phục lỗi hệ thống. Biết cách tự thiết kế, vận hành hệ thống mạng của doanh nghiệp vừa và nhỏ. Tự mình mở dịch vụ mạng cơ bản tại nhà sau khi hoàn thành khóa học. Được hỗ trợ học tập mọi lúc mọi nơi, hỗ trợ 24/7 không giới hạn lần học",Quản trị mạng
https://unica.vn/lap-trinh-wordpress-theme-cho-doanh-nghiep-cung-bootstrap,Lập trình Wordpress Theme cho doanh nghiệp cùng Bootstrap,Lê Anh Tuấn,900.000,299.000,325,4.3,3 phần,41 bài giảng,12 giờ 02 phút,"Biết cách tự làm Wordpresss theme bản thân, doanh ngiệp hay khách hàng để tăng thu nhập. Tự tạo và làm chủ cho mình một Wordpress website cùng custom theme. Nắm được các thông tin và kiến thức cần thiết để bắt đầu sự nghiệp của một Wordpress Developer chuyên nghiệp. Update các bài học nâng cao như Theme Options, WP API, Ecommerce theme, Plugin, và các kiến thức mới miễn phí. Biết cách tích hợp Bootstrap. Tích hợp Portfolio cho theme","Lập Trình Web, Công nghệ thông tin"
https://unica.vn/xay-dung-rest-api-service-voi-node-va-express,Xây dựng REST API Service với Node và Express,Phan Văn Luân,700.000,399.000,101,4.3,3 phần,30 bài giảng,02 giờ 28 phút,Nắm chắc kiến thức về REST. Áp dụng Javascript ES6 vào thực tế. Xây dựng các dự án Rest API service sử dụng Node và Express cách thành thạo. Xử lý request thông qua Express với thao tác nhanh chóng. Xử lý các trường hợp đặc biệt khi xây dựng Rest API service. Học một số mẹo vặt và thủ thuật thường dùng trong lập trình.,"Ngôn ngữ lập trình, Công nghệ thông tin, javascript"
https://unica.vn/lam-chu-python-trong-4-tuan,Làm chủ Python trong 4 tuần,Trần Duy Thanh,700.000,499.000,1464,4.9,11 phần,101 bài giảng,12 giờ 56 phút,"Khi hoàn thành khoá học làm chủ python trong 4 tuần bạn sẽ có được kiến thức đầy đủ và toàn diện nhất về ngôn ngữ lập trình Python. Hướng dẫn các kiến thức không thể thiếu trong Python: dữ liệu tồn tại, các lỗi trong Python, các biểu thức điều kiện, kiến thức vòng lặp, hàm.... Thực hành giải các bài tập rèn luyện cơ bản - nâng cao khi dùng Python qua mỗi phần học.. Cơ sở để học tiếp các khóa: Cấu trúc dữ liệu, lập trình Kotlin, C#, lập trình java, lập trình Android, Web.... Sớm làm chủ được Python, giúp học viên dễ dàng tiếp thu các ngôn ngữ mới. Có nền tảng vững chắc để tham gia các dự án liên quan tới lập trình Python","Ngôn ngữ lập trình, Lập trình Python"
https://unica.vn/lam-chu-lap-trinh-cam-nx-3-truc-co-ban-chuyen-sau,Làm chủ Lập trình CAM NX 3 trục (Cơ bản - Chuyên sâu),Hoàng Quốc Duy,1.000.000,299.000,307,4.5,12 phần,63 bài giảng,06 giờ 14 phút,"Tiếp cận và nhanh chóng nắm được kiến thức về lập trình CAM NX 3 một cách cơ bản, chuyên sâu.. Được bổ sung các kiến thức kỹ năng lập trình, tư duy lập trình thực tiễn có tính ứng dụng cao trong công việc và học tập. Tự tin Lập trình tối ưu nhất cho các sản phẩm của khách hàng: Jig, Khuôn, chi tiết chính xác.... Lập trình tối ưu, tăng hiệu suất công việc. Tự tin làm việc với cấp trên, đồng nghiệp. Yêu thích công việc lập trình hơn","Ngôn ngữ lập trình, Công nghệ thông tin"
