course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/lam-chu-he-thong-marketing-thong-minh,Làm chủ hệ thống MARKETING thông minh,Nguyễn Tài Tuệ,700.000,299.000,169,4.6,6 phần,32 bài giảng,03 giờ 40 phút,"Làm chủ kiến thức nền về Marketing liên kết. Định hướng kinh doanh nhờ nắm bắt công thức phát triển kinh doanh. Biết cách lựa chọn các nguồn dẫn traffic hiệu quả để tăng doanh thu và lợi nhuận. Tránh được những sai lầm về Marketing truyền thống để tăng lợi nhuận. Được tham gia vào mạng lưới marketing liên kết toàn cầu để kiếm tiền và phát triển kinh doanh. Biết cách lựa chọn các công cụ chính xác, hiệu quả, giảm chi phí Marketing và tối đa hóa được lợi nhuận","Marketing Online, Hệ thống kinh doanh"
https://unica.vn/ban-hang-dinh-cao-voi-affiliate,Bán hàng đỉnh cao với Affiliate,Văn Thượng Hỉ,2.000.000,299.000,955,4.7,8 phần,99 bài giảng,06 giờ 29 phút,Tạo ra một trang bán hàng để không mất thời gian chốt sales nữa. Tạo ra phễu bán hàng để tăng tỷ lệ chốt sales và hoàn toàn thụ động. Tạo ra hệ thống đào tạo để hàng ngàn người bán sản phẩm cho bạn. Tạo ra những công cụ bán hàng để tiết kiệm thời gian hơn. Nguồn thu nhập thụ động vững mạnh. Xây dựng thương hiệu của bạn trên internet,"Bán hàng Online, Kinh doanh Online, Affiliate Marketing"
https://unica.vn/youtube-marketing,Youtube Marketing,Nguyễn Quốc Anh,600.000,249.000,377,4.5,6 phần,33 bài giảng,05 giờ 19 phút,"Cách làm video nhanh chóng - hiệu quả.. Xây dựng kênh Youtube riêng có nhiều subcribes.. Tối ưu kênh YouTube phát triển với ít chi phí nhất, đem lại giá trị cao.. Tự tin với ý tưởng làm clip cũng như vấn đề bản quyền, nguyên tắc cộng đồng.",Youtube Marketing
https://unica.vn/Vu-khi-ngon-tu-ung-dung-trong-pr-quang-cao-ban-hang-giao-tiep-thuyet-trinh,"Vũ khí ngôn từ: ứng dụng trong PR, Quảng cáo, Bán hàng, Giao tiếp, Thuyết trình",Huỳnh Minh Thuận,600.000,299.000,2768,4.6,9 phần,49 bài giảng,04 giờ 00 phút,Dễ dàng thực hiện được cuộc hẹn.. Tự tin nói lên ý kiến của mình trước đám đông.. Bí quyết tiếp xúc với người lạ vô cùng tự tin.. Viết quảng cáo thần sầu.. Biến một người dở thành một người giỏi.. Kỹ thuật viết giúp một người lên tầng cao mới.,"Bán hàng Online, Kinh doanh Online, Content Marketing"
https://unica.vn/marketing-bao,"Marketing Bão - Tạo lốc đơn hàng, Nâng cao doanh số", Nguyễn Quang Ngọc ,900.000,599.000,902,4.8,6 phần,22 bài giảng,02 giờ 07 phút,"Công thức bí mật để của chiến lược Marketing bão.. Giảm chi phí và tăng doanh thu khi làm theo đúng trình tự của công thức. Tăng lượng khách hàng mới, giữ chân được khách hàng cũ. Nhân rộng hơn nữa thương hiệu của mình đế với hàng ngàn khách hàng","Marketing Online, Chiến lược Marketing"
https://unica.vn/ky-thuat-viet-pr-quang-cao-ban-hang-dung-tam-ly-khach-hang,Kỹ thuật viết PR - Quảng cáo - Bán hàng đúng tâm lý khách hàng,Thiên Trần,800.000,299.000,1999,4.4,5 phần,28 bài giảng,01 giờ 59 phút,Viết hàng loạt những tiêu đề hiệu quả và thu hút đúng nhóm đối tượng khách hàng mục tiêu chỉ trong 30 giây. Sở hữu tư duy của một copywriter nhiều năm kinh nghiệm chinh chiến đủ mọi ngành nghề. Tự tin viết bất kỳ sản phẩm/dịch vụ nàođang kinh doanh vì những phương thức thực tế trong khoá học. Mở đầu các bài viết kích thích khách hàng chịu dành thời gian để đọc bài quảng cáo của bạn. Trình bày từ A - Z toàn bộ bài viết lôi cuốn khách hàng đọc hết bài của bạn một cách tự nhiên nhất. Nâng cao khả năng viết content thu hút để đạt các vị trí cao: Trưởng nhóm/ Trưởng phòng Nội dung,Content Marketing
https://unica.vn/hoc-lam-web-sieu-toc,Hướng dẫn làm web Landing Page bán hàng đỉnh cao dành cho người không chuyên,Trương Văn Hòa,600.000,249.000,531,4.3,4 phần,22 bài giảng,03 giờ 56 phút,"Khóa học hướng dẫn bạn một cách chi tiết cách thiết kế Website trong tích tắc.. Kết thúc khóa học bạn sẽ có nhiều mẹo thu hút khách hàng truy cập vào website của mình.. Biết cách xây dựng nội dung bán hàng hiệu quả và thông minh.. Tối ưu hóa Website để đưa từ khóa lên Top 1 Google với chi phí thấp có thể.. Tùy chỉnh giao diện Website theo ý muốn, thêm bớt tính năng chỉ với một cú bấm chuột.","Thiết kế Web, Landingpage"
https://unica.vn/bi-quyet-tang-doanh-so-bang-email-marketing,Bí quyết tăng doanh số bằng Email Marketing,Phạm Huy Long,600.000,299.000,128,4.9,4 phần,22 bài giảng,02 giờ 09 phút,Hiểu thế nào là Email Marketing và vị trí của nó trong chiến lược Marketing Online tổng thể. Hướng dẫn chiến lược gửi Email Marketing đúng cách. Học cách sử dụng công cụ Email Marketing hàng đầu hiện nay đó là Mailchimp. Áp dụng Email Marketing vào hoạt động kinh doanh của bạn một cách hiệu quả,Email Marketing
https://unica.vn/facebook-marketing-tu-a-z,Facebook Marketing từ A - Z,Hồ Ngọc Cương,1.000.000,699.000,14992,4.3,9 phần,74 bài giảng,07 giờ 07 phút,"Hiểu rõ bản chất và nguyên tắc chạy quảng cáo thông qua khóa học facebook ads.. Nắm chắc các công cụ hỗ trợ quảng cáo Facebook .. Tự chạy Facebook Ads thành thạo ngay sau khóa học.. Xây dựng kế hoạch chạy quảng cáo Facebook Ads hiệu quả .. Biết cách sáng tạo và xây dựng nội dung content, hình ảnh chất lượng có tính tương tác cao trong quảng cáo Facebook.. Nắm trọn các thủ thuật tối ưu quảng cáo nâng cao với chi phí thấp - lợi nhuận cao","Facebook Marketing, Marketing Online"
https://unica.vn/nghe-thuat-viet-ebook-danh-cho-nguoi-moi-bat-dau,Nghệ thuật viết Ebook dành cho người mới bắt đầu,Hán Quang Dự,1.200.000,299.000,994,4.7,7 phần,26 bài giảng,02 giờ 24 phút,"Kỹ thuật viết và thiết kế hoàn chỉnh 1 ebook với nội dung thu hút và hình thức độc đáo. Sở hữu vũ khí thiết website đơn giản nhất, không cần biết về lập trình cũng tự tay làm được. Học cách viết nội dung thôi miên, bán hàng đơn giản. Tự viết ebook, sách, bài Pr hiệu quả và thu hút",Nghệ thuật viết Ebook
