course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/kinh-nghiem-ke-khai-va-quyet-toan-thue-thu-nhap-ca-nhan,Kinh nghiệm kê khai và quyết toán thuế thu nhập cá nhân từ A - Z,Nguyễn Hoàng,800.000,499.000,3046,4.8,8 phần,72 bài giảng,14 giờ 03 phút,"Sau khi kết thúc khóa học quyết toán thuế thu nhập cá nhân bạn sẽ hiểu rõ hệ thống quản lý pháp luật về thuế TNCN. THÀNH THẠO CÁCH LẬP BẢNG LƯƠNG TRÊN EXCEL. THÀNH THẠO việc KÊ KHAI và QUYẾT TOÁN thuế TNCN. Có được một lượng kiến thức thực tế mà một kế toán bình thường mất khoảng 2 năm mới có được. TỐI ƯU SỐ THUẾ phải nộp cho người lao động, mang lại LỢI ÍCH hoc doanh nghiệp. Nắm rõ công việc thực tế của một kế toán thuế về thuế TNCN hàng tháng, hàng quý, cuối năm. Nắm rõ quy trình thực hiện các bước kê khai, quyết toán thuế TNCN trong doanh nghiệp. Nắm rõ cách tính thuế TNCN cho từng đối tượng lao động, từng loại hợp đồng lao động","Kế Toán, Kế toán thuế"
https://unica.vn/dau-tu-gia-tri-dinh-cao,Đầu tư giá trị đỉnh cao    ,Đặng Trọng Khang,600.000,249.000,3994,4.6,10 phần,39 bài giảng,03 giờ 35 phút,"Nắm được tiềm năng khổng lồ từ thị trường cổ phiếu nếu bạn đầu tư giá trị hiệu quả. Nắm được 10 Tư duy, kiến thức chuẩn xác trong đầu tư cổ phiếu. Am hiểu về định giá cổ phiếu một cách chuyên nghiệp nhanh chóng. Có khả năng tìm ra cổ phiếu tốt, và mua giá bằng 1/3 đến 1/2 giá trị thực. Tránh được những rủi ro, cạm bẫy trên TTCK. Bí quyết sử dụng thành thạo các công cụ đầu tư để định giá một cách chính xác, có căn cứ chuẩn xác nhất",Chứng khoán
https://unica.vn/bi-quyet-kinh-nghiem-dau-tu-chung-khoan,Bí quyết kinh nghiệm đầu tư chứng khoán,Nguyễn Bá Dương,800.000,299.000,594,4.6,6 phần,38 bài giảng,04 giờ 39 phút,Tư duy đúng về chứng khoán và có cách đầu tư thông minh. Tránh được những rủi ro thường gặp trong đầu tư. Công thức đầu tư đúng đắn và hiệu quả nhất. Lọt vào nhóm 5% những nhà đầu tư chiến thắng trên thị trường,Chứng khoán
https://unica.vn/ke-toan-tren-excel-tu-a-z,Thực hành làm kế toán trên Excel từ A-Z và định hướng để thành công,Phạm Văn Học,800.000,399.000,252,4.8,14 phần,84 bài giảng,11 giờ 35 phút,"Được trang bị đầy đủ kiến thức và kỹ năng làm việc như một kế toán viên thực thụ trong các doanh nghiệp công ty. Được cung cấp file kế toán Excel hoàn chỉnh giúp tiết kiệm thời gian xây dựng và sử dụng được ngay. Kiến thức Excel cơ bản để ứng dụng thực tiễn vào công việc kế toán hiệu quả. Biết cách tổ chức hạch toán trên Excel phù hợp cho từng loại hình doanh nghiệp. Biết cách thực hiện các công việc nghiệp vụ kế toán cụ thể như: xây dựng hệ thống tài khoản, hạch toán kết chuyển tài khoản, kết chuyển cuối kỳ (lãi, lỗ, tỷ giá, tổng hợp báo cáo chi phí nguyên vật liệu, lương,), lập và báo cáo tài chính, kê khai quyết toán thuế.... Được định hướng công việc và hướng đi phù hợp giúp bạn phát triển nhanh chóng ngay cả khi bạn chưa có nhiều kinh nghiệm","Excel, Kế Toán"
https://unica.vn/thanh-thao-cach-xu-ly-ve-hoa-don-chung-tu-ke-toan-hoc-la-biet-lam,Thành thạo cách xử lý về hóa đơn chứng từ kế toán,Nguyễn Hoàng,800.000,399.000,2619,4.7,4 phần,60 bài giảng,09 giờ 45 phút,"CAM KẾT học cái gì LÀM ĐƯỢC cái đó. HOÀN TOÀN RÕ RÀNG với hệ thống quản lý pháp luật về hóa đơn.. Nắm rõ công việc của một kế toán về Hóa đơn, chứng từ. Nắm rõ Quy trình để có hóa đơn đưa vào sử dụng. Nắm rõ CÁCH XỬ LÝ HÓA ĐƠN KHI LẬP SAI. Nắm rõ cách xử lý hóa đơn MẤT, CHÁY HỎNG, HỦY BỎ. Nhận biết được hóa đơn chứng từ HỢP LÝ, HỢP LỆ, HỢP PHÁP. Xử lý hóa đơn DOANH NGHIỆP BỎ TRỐN. Cách thức sắp xếp, lưu trữ chứng từ kế toán khoa học. Thực hành thành thạo việc kê khai báo cáo về hóa đơn trên phần mềm hỗ trợ kê khai.. Tự tin viết hóa đơn  với ĐẦY ĐỦ CÁC YẾU TỐ BẮT BUỘC trên hóa đơn. Tự tin ứng tuyển kế toán tại các doanh nghiệp.... Được cung cấp hệ thống văn bản pháp luật về hóa đơn MỚI NHẤT. Được cung cấp MẪU BIỂU về hóa đơn MỚI NHẤT",Kế Toán
https://unica.vn/15-ngay-tro-thanh-dinh-cao-trong-phan-tich-ky-thuat-chung-khoan,15 Ngày trở thành đỉnh cao trong phân tích kỹ thuật chứng khoán,Công Tuyền Darvas,2.900.000,2.000.000,1211,4.5,2 phần,19 bài giảng,06 giờ 18 phút,"Giúp nhà đầu tư có một cái nhìn tổng quan về thị trường chứng khoán hiện nay trong ngắn hạn và dài hạn. Phân tích được tổng quan thị trường chứng khoán trong ngắn hạn và dài hạn. Biết đâu là dòng tiền lớn đầu tư theo dấu vết nhà đầu tư lớn. Tự vẽ đồ thị phân tích tương lai cổ phiếu mình đầu tư. Biết cách quản lý vốn và tối ưu hóa lợi nhuận, giảm thiểu rủi ro trong đầu tư tới mức tối đa. Tạo nguồn thu nhập thụ động bền vững, đảm bảo tiềm lực tài chính trong tương lai. Có nền tảng vững chắc để phát triển nghề nghiệp với vai trò Chuyên viên Phân tích kỹ thuật chứng khoán",Chứng khoán
https://unica.vn/chia-se-tat-tan-tat-kinh-nghiem-quyet-toan-thue,"Chia sẻ tất tần tật kinh nghiệm bảo vệ, giải trình số liệu khi thanh tra thuế",Nguyễn Biên Cương,800.000,299.000,1317,4.7,8 phần,73 bài giảng,05 giờ 55 phút,"Đánh ""BẬT"" nỗi lo thanh tra thuế và giải trình số liệu khi thanh tra. Kỹ năng phân tích và phát hiện rủi ro về thuế mà doanh nghiệp thường gặp phải. Cách để khắc phục các rủi ro lớn nhỏ trong doanh nghiệp theo từng khoản.. Kỹ thuật kiểm tra chi tiết và tổng quát số liệu kế toán Doanh nghiệp. Giảm thiểu tối đa rủi ro cho Doanh nghiệp khi quyết toán thuế. Tối ưu hóa thuế để gia tăng giá trị cho Doanh nghiệp. Hệ thống hóa các quy định của các sắc thuế: GTGT, TNDN, TNCN, Hóa đơn chứng từ.. Cách giải quyết các tình huống xảy ra khi quyết toán và kiểm tra. Cơ hội thăng tiến và phát triển nghề nghiệp","Kế Toán, Kế toán thuế"
https://unica.vn/tro-thanh-chuyen-gia-ke-toan-tong-hop-tren-excel,Trở thành chuyên gia kế toán tổng hợp trên Excel ,Phạm Văn Học,700.000,299.000,160,4.7,6 phần,31 bài giảng,11 giờ 03 phút,"Hiểu và thành thạo các nghiệp vụ kế toán của một nhân viên kế toán tổng hợp thạo nghề.. Sở hữu những kỹ năng phân tích, tổng hợp và báo cáo tốt để trở thành chuyên gia kế toán trên Excel. Được cung cấp đầy đủ kiến thức, kỹ năng nghiệp vụ kế toán thông qua các bài học và thực hành trực tiếp cùng giảng viên hướng dẫn. Tự xây dựng một file kế toán hoàn chỉnh bằng Excel phù hợp với các loại hình doanh nghiệp. Tự tin ứng tuyển các vị trí kế toán tổng hợp tại các công ty doanh nghiệp. Sớm trau dồi kiến thức, kỹ năng nghiệp vụ kế toán mới, tạo tiền đề vững chắc thăng tiến trong sự nghiệp.","Excel, Kế Toán"
course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/kinh-nghiem-ke-khai-va-quyet-toan-thue-thu-nhap-ca-nhan,Kinh nghiệm kê khai và quyết toán thuế thu nhập cá nhân từ A - Z,Nguyễn Hoàng,800.000,499.000,3046,4.8,8 phần,72 bài giảng,14 giờ 03 phút,"Sau khi kết thúc khóa học quyết toán thuế thu nhập cá nhân bạn sẽ hiểu rõ hệ thống quản lý pháp luật về thuế TNCN. THÀNH THẠO CÁCH LẬP BẢNG LƯƠNG TRÊN EXCEL. THÀNH THẠO việc KÊ KHAI và QUYẾT TOÁN thuế TNCN. Có được một lượng kiến thức thực tế mà một kế toán bình thường mất khoảng 2 năm mới có được. TỐI ƯU SỐ THUẾ phải nộp cho người lao động, mang lại LỢI ÍCH hoc doanh nghiệp. Nắm rõ công việc thực tế của một kế toán thuế về thuế TNCN hàng tháng, hàng quý, cuối năm. Nắm rõ quy trình thực hiện các bước kê khai, quyết toán thuế TNCN trong doanh nghiệp. Nắm rõ cách tính thuế TNCN cho từng đối tượng lao động, từng loại hợp đồng lao động","Kế Toán, Kế toán thuế"
https://unica.vn/dau-tu-gia-tri-dinh-cao,Đầu tư giá trị đỉnh cao    ,Đặng Trọng Khang,600.000,249.000,3994,4.6,10 phần,39 bài giảng,03 giờ 35 phút,"Nắm được tiềm năng khổng lồ từ thị trường cổ phiếu nếu bạn đầu tư giá trị hiệu quả. Nắm được 10 Tư duy, kiến thức chuẩn xác trong đầu tư cổ phiếu. Am hiểu về định giá cổ phiếu một cách chuyên nghiệp nhanh chóng. Có khả năng tìm ra cổ phiếu tốt, và mua giá bằng 1/3 đến 1/2 giá trị thực. Tránh được những rủi ro, cạm bẫy trên TTCK. Bí quyết sử dụng thành thạo các công cụ đầu tư để định giá một cách chính xác, có căn cứ chuẩn xác nhất",Chứng khoán
