course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,category,tags,what_you_learn
Thiết kế Powerpoint chuyên nghiệp,Trần Quang Vũ,600.000,299.000,1955,4.2,3 phần,20 bài giảng,01 giờ 35 phút,tin học văn phòng,"PowerPoint, Thuyết trình","Sau khóa học powerpoint bạn sẽ biết thiết kế hình ảnh và khởi tạo video chuyên nghiệp mà không cần dùng đến các phần mềm chuyên sâu như Photoshop, Illustrator.... Vận dụng linh hoạt các yếu tố: hình ảnh, ngôn ngữ, đồ họa 2D - 3D, audio, hiệu ứng, ảnh động để tạo nên một bản Powerpoint hoàn chỉnh nhất.. Tư duy thiết kế Powerpoint qua hình ảnh, màu sắc và hiệu ứng chuyên nghiệp.. Hỗ trợ thuyết trình mạnh mẽ, tăng tính trực quan và tăng sự tương tác giữa người nói - người nghe.. Ứng dụng sau khóa học Powerpoint đa lĩnh vực, từ học tập, giảng dạy, báo cáo, diễn thuyết,…. Ghi điểm và tạo ấn tượng tốt với người theo dõi buổi thuyết trình với các Slide sống động hấp dẫn."
Bí quyết luyện thi Mos Word 2010 trên 900 điểm,Đặng Thanh Trúc,800.000,299.000,62,5.0,8 phần,34 bài giảng,04 giờ 41 phút,tin học văn phòng,Word,Nắm chắc toàn bộ kiến thức về công cụ Microsoft Word 2010 từ cơ bản đến nâng cao. Được bổ sung và trau dồi kiến thức về công cụ Word bị thiếu sót trong quá trình học tập và làm việc.. Được học và giải đề bằng ngôn ngữ tiếng Anh giúp học viên tăng vốn từ vựng một cách bất ngờ. Có tư duy sắp xếp các bước để giải đề MOS Word 2010. Có khả năng tự luyện và giải đề các phiên bản Word cao hơn. Tự tin thi MOS Word 2010 với số điểm trên 900+
"Thành thạo Excel 2013 từ A tới Z, tự tin thi đỗ chứng chỉ MOS",Nguyễn Ngọc Chiến,800.000,299.000,306,4.6,12 phần,71 bài giảng,09 giờ 00 phút,tin học văn phòng,Excel,"Được trang bị đầy đủ kiến thức và kỹ năng để đi thi đỗ chứng chỉ MOS Excel 2013 với điểm số cao nhất. Trở thành chuyên gia tin học văn phòng được Microsoft công nhận toàn cầu với thời gian trọn đời. Học viên đạt chứng chỉ MOS chứng tỏ được năng lực của bản thân được đào tạo chuyên nghiệp hơn, sẽ có ưu thế và nổi bật hơn trong mắt các nhà tuyển dụng.. Học viên có thể sử dụng chứng chỉ bản mềm MOS 2013 để nộp đơn xin việc ngay sau khi thi đỗ. Bản cứng sẽ được chuyển về Việt Nam sau 6 -8 tuần. Tự tin làm chủ phần mềm Excel 2013, góp phần nâng cao hiệu suất và hiệu quả công việc. Khẳng định vị thế tiên phong trong doanh nghiệp như một chuyên gia tin học văn phòng thực thụ. Tăng cao thu nhập cá nhân và cơ hội thăng tiến trong sự nghiệp"
Làm chủ Word 2016 từ cơ bản đến nâng cao,Đỗ Trung Thành,800.000,299.000,8155,4.6,4 phần,43 bài giảng,04 giờ 42 phút,tin học văn phòng,Word,"Làm chủ phần mềm Word 2016 nhanh chóng và chi tiết nhất. Có thể áp dụng ngay vào công việc và học tập thi cử. Nắm được các bước xây dựng, soạn thảo văn bản và chỉnh sửa hợp lý và nhanh chóng, đúng quy trình.. Biết cách thiết kế, thiết lập văn bản, chỉnh sửa, bảo mật văn bản word dể ứng dụng vào hợp đồng, báo cáo, các tài liệu văn phòng, chứng từ cụ thể,.... Được trau dồi kiến thức nâng cao ứng dụng vào công việc thêm tối ưu và hiệu quả. Tự tin nâng cao trình độ để thi chứng chỉ tin học văn phòng"
Thiết kế trình chiếu PowerPoint 2016 từ A-Z,Đỗ Trung Thành,500.000,299.000,4350,4.7,5 phần,43 bài giảng,05 giờ 30 phút,tin học văn phòng,PowerPoint,"Nhanh chóng làm chủ phần mềm PowerPoint 2016. Nắm được các bước cụ thể về quá trình tạo ra bài thuyết trình, bài giảng điện tử,…. Được thực hành chi tiết từng nội dung, thành phần và đối tượng cụ thể. Có đủ kỹ năng về thiết kế, trình chiếu thông qua các bài thực hành. Thực hành trực tiếp từng sản phẩm theo các video bài học. Tự tin thuyết trình với side chuyên nghiệp. Tự tin Thiết kế CV, inforgraphic, video marketing... và còn nhiểu hơn thế!"
Thành Thạo Excel Qua Giải Đề Thi,Trần Duy Thanh,700.000,599.000,859,4.2,8 phần,58 bài giảng,07 giờ 47 phút,tin học văn phòng,Excel,"Nắm được toàn bộ kiến thức Excel xuất hiện nhiều trong thi cử và trong công việc văn phòng. Biết cách sắp xếp, lọc dữ liệu và trình diễn dữ liệu khoa học, hiệu quả. Nắm chắc và biết cách ứng dụng thành thạo các bộ hàm Excel lớn từ cơ bản - nâng cao. Ứng dụng hiệu quả những kiến thức đã học - thực hành vào công việc tối ưu nhất. Có thể thực hiện thống kê và lên kế hoạch bằng Excel dễ dàng và nhanh chóng hơn. Làm chủ Excel thần tốc với 10+ bài giảng là các đề thi yêu cầu phải thực hành giải đề. Trở thành cao thủ Excel ngay trong doanh nghiệp và trường lớp"
Powerpoint - Những điều bạn chưa biết,Nguyễn Thành Trung,700.000,299.000,150,4.8,6 phần,21 bài giảng,02 giờ 58 phút,tin học văn phòng,PowerPoint,"Nắm được những lý thuyết và thao thác thực hiện các tính năng có trong Powepoint một cách tốt nhất. Ứng dụng sâu các tính năng có trong Powerpoint như làm hiệu ứng 2D - 3D ảnh, video, animation.... Nhanh chóng tối ưu công việc, rút ngắn được thời gian thực hiện một bản trình chiếu chuyên nghiệp, hiệu quả. Nắm được những kỹ năng thiết kế slide trong Powerpoint khoa học, ấn tượng, hiệu ứng tốt đối với người theo dõi.. Khóa học phân thành từng học phần nhỏ hoàn toàn có thể vừa học vừa thực hành để ứng dụng ngay vào công việc của mình. Tự tin thể hiện cá tính, dấu ấn cá nhân trong bản trình chiếu độc đáo hơn."
Trình chiếu chuyên nghiệp với PowerPoint,Nguyễn Đức Thanh,800.000,299.000,2268,4.2,7 phần,41 bài giảng,03 giờ 51 phút,tin học văn phòng,PowerPoint,"Làm chủ PowerPoint, hoàn thiện kĩ năng làm bài thuyết trình từ cơ bản đến nâng cao.. Áp dụng vào việc thuyết trình, dạy học, thuyết trình giới thiệu sản phẩm, minh hoạ ý tưởng, làm hoạt hình. Làm chủ được kĩ năng sử dụng phần mềm PowerPoint cũng như các phần mềm thuyết trình tương tự khác.. Tự tin khi đi xin việc hoặc tự tin thuyết trình với bài thuyết trình powerpoint hoàn hảo của mình"
Chinh phục excel công sở,Nguyễn Thành Đông,600.000,299.000,5215,4.3,8 phần,34 bài giảng,02 giờ 25 phút,tin học văn phòng,Excel,"Biết cách sắp xếp, lên kế hoạch công việc nhanh chóng với ứng dụng được xây dựng ngay trên Microsoft Excel.. Xử lý, tổng hợp, quản lý và phân tích số liệu với những chức năng nâng cao như: Goal Seek, Solver, Scenario, Pivot Tables.. Ứng dụng nhanh vào công việc ngay từ những ví dụ thực tiễn cụ thể và chi tiết nhất có trong từng phần học. Bứt phá tốc độ làm việc trên Microsoft Excel với hệ thống phím tắt đa dạng. Khai thác và trình bày số liệu nhanh chóng, chuyên nghiệp và khoa học nhất dựa trên lợi thế trình bày dữ liệu của Excel. Định dạng bảng tính chuyên nghiệp, thu hút sự chú ý của người xem và đạt hiệu quả thuyết trình, báo cáo số liệu.. Và nhiều thủ thuật, tiện tích khác giúp cho công việc văn phòng trên Microsoft Excel trở nên sinh động và hấp dẫn hơn."
Bí quyết nuôi dạy con hạnh phúc và thành công,Phùng Thị Thùy Dung,700.000,199.000,214,4.9,4 phần,19 bài giảng,02 giờ 06 phút,hôn nhân và gia đình,"Đồng hành cùng con, Phương pháp dạy con","Hiểu được tâm lý, biết cách chia sẻ cùng con.. Biết cách ứng xử tốt với con bằng cách vận dụng các quy tắc vàng.. Biết cách giáo dục con phát triển tốt nhất,. Cha mẹ sẽ có một tư duy tích cực khi giáo dục con.. Các thầy cô giáo biết cách làm thế nào để thấu hiểu được trẻ, giáo dục, định hướng trẻ phát triển tốt nhất.. Trẻ được giáo dục tốt sẽ phát triển ""Bình an và Hạnh phúc""."
